trait_BG,token_id,trait_Torso,trait_Color,trait_Power Unit,trait_Face,trait_Apex,trait_Right Sensor,trait_Quantum Core,trait_Sense Emulator,trait_Left Sensor,trait_Hands,trait_AUX,trait_Special Edition,rarity_score
Green Gradient,238,Kouwei,Snake,Core,Centurion,Core,Core,Patrician,Inhaler,Core,-1,-1,-1,109.70294842859138
Pink Gradient,2066,Kimono,Echelon Grey,Patrician,Vandalized,-1,Core,Core,Kouwei,Core,-1,-1,-1,109.69789648525033
Blue Gradient,6455,Graphic Tee,Nova Blue,Core,Centurion,Core,-1,Runtime Meter,Extended Release,Kouwei,-1,-1,-1,109.68886001436552
Green Gradient,135,Core,Snake,Extended Range,Core,Garsi,Acoustic Array,Core,Sticker,-1,-1,-1,-1,109.67911623264354
Orange Gradient,6859,Patrician,Titan,Centurion,EMO-LED,-1,Rabbit,Runtime Meter,Kouwei,-1,-1,-1,-1,109.65774448091106
Grey Gradient,3869,Ongo,Wrath,EMP Shields,Centurion,Centurion,-1,Centurion,Sticker,-1,-1,-1,-1,109.6342160428782
Green Gradient,2784,Leather Jacket,Snake,EMP Shields,Patrician,Industrial Sensor,Acoustic Array,Core,Inhaler,APS,-1,-1,-1,109.62856134047384
Purple Gradient,7130,Leather Jacket,Snake,Extended Range,VRT,Garsi,Kouwei,Centurion,Sticker,APS,-1,-1,-1,109.60301157099497
Black Graphic,1404,Ongo,Nebula Red,Centurion,Core,Centurion,Acoustic Array,Centurion,Inhaler,Kouwei,-1,-1,-1,109.56861200138951
Blue Gradient,6533,Tactical,Grape,Centurion,VRT,-1,Ongo,Runtime Meter,Kouwei,Core,-1,Kouwei,-1,109.55953322480735
Green Gradient,7304,Puff Jacket,Pulsar White,Core,VRT,Echelon-3,Acoustic Array,Core,Offender,Core,-1,-1,-1,109.55671011966075
Blue Gradient,7710,Tactical,Wrath,Kouwei,Core,Garsi,Kouwei,Patrician,Ongo,APS,-1,-1,-1,109.55665060366061
Grey Day,2877,Tactical,Grape,Core,VRT,Centurion,Cat,Runtime Meter,Inhaler,Kouwei,-1,-1,-1,109.5528880814831
Blue Gradient,32,Wind Breaker,Pulsar White,Kouwei,Graffiti,-1,APS,Ongo,Extended Release,-1,-1,-1,-1,109.54258773896125
Purple Gradient,4963,Tactical,Pulsar White,Core,Centurion,Strobe,-1,Core,Kouwei,Core,-1,Kouwei,-1,109.52541297376592
Green Gradient,7281,Ongo,Snake,Kouwei,Kouwei,Garsi,-1,Core,Offender,Kouwei,-1,-1,-1,109.50618248512652
Purple Gradient,594,Leather Jacket,Nebula Red,Core,Recon,Industrial Sensor,Acoustic Array,Core,Sticker,Rabbit,-1,-1,-1,109.50143658477248
Green Gradient,7374,Core,Navy,Core,Vandalized,Garsi,-1,Centurion,Inhaler,Infrared,-1,-1,-1,109.46105330665424
Grey Gradient,7218,Puff Jacket,Pulsar White,Kouwei,Graffiti,-1,APS,Kouwei,Inhaler,Kouwei,-1,-1,-1,109.45165636901471
Purple Gradient,3887,PBJ,Neptune,Kouwei,Ongo,Centurion,Ongo,Core,Offender,Core,-1,-1,-1,109.44281083533225
Purple Gradient,513,Leather Jacket,Snake,Core,Ongo,Centurion,Rabbit,Core,Kouwei,Cat,-1,-1,-1,109.40582056442118
Grey Gradient,6800,Kouwei,Titan,Core,Ongo,Centurion,Cat,Core,Kouwei,-1,-1,-1,-1,109.38630284407074
Grey Day,2740,Monk,Nebula Red,Kouwei,VRT,Centurion,-1,Centurion,Inhaler,Cat,-1,-1,-1,109.36326784950936
Blue Gradient,1599,Leather Jacket,Cotton Candy,Kouwei,Patrician,Strobe,-1,Centurion,Kouwei,Infrared,-1,-1,-1,109.34747498901991
Grey Gradient,5955,Tactical,Navy,Patrician,EMO-LED,-1,Core,Core,Inhaler,Cat,-1,Bypass,-1,109.32541273026578
Green Gradient,1978,TUX,Pulsar White,Kouwei,Centurion,Ongo,Core,Core,Inhaler,Core,-1,-1,-1,109.32165621792751
Grey Gradient,6147,Tracksuit,Navy,Extended Range,VRT,Ongo,Kouwei,Patrician,Offender,Core,-1,-1,-1,109.26420645273926
Purple Gradient,4619,Tactical,Navy,Patrician,Patrician,Emoji,Core,Runtime Meter,Inhaler,APS,-1,-1,-1,109.25851929983294
Purple Gradient,5157,Core,Snake,Centurion,VRT,Echelon-3,Kouwei,Centurion,Offender,-1,-1,-1,-1,109.22769309558844
Blue Gradient,6075,Centurion,Cotton Candy,Centurion,Recon,Echelon-3,Core,Centurion,Kouwei,-1,-1,-1,-1,109.18401298905425
Black Graphic,5205,Patrician,Wrath,Core,EMO-LED,-1,APS,Core,Kouwei,APS,-1,-1,-1,109.17629414355918
Grey Day,4575,Patrician,Pulsar White,EMP Shields,Kouwei,Emoji,-1,Centurion,-1,Core,-1,-1,-1,109.17428088798086
Green Gradient,2354,Core,Pulsar White,Core,Kouwei,Cutter,Core,Centurion,Inhaler,Core,-1,-1,-1,109.16133868667528
Green Gradient,3539,Leather Jacket,Echelon Grey,Kouwei,VRT,Cutter,APS,Kouwei,Ongo,-1,-1,-1,-1,109.14800683473351
Black Graphic,1536,Tactical,Neptune,Centurion,Centurion,Range Finder,Kouwei,Centurion,Kouwei,-1,-1,-1,-1,109.1423919164871
Black Graphic,1813,Leather Jacket,Nebula Red,Kouwei,EMO-LED,-1,Rabbit,Runtime Meter,Core,Core,-1,-1,-1,109.13082470041273
Grey Gradient,241,Kouwei,Echelon Grey,Core,EMO-LED,-1,Core,Patrician,Ongo,Infrared,-1,Bypass,-1,109.11912673143972
Purple Gradient,1143,Kimono,Titan,EMP Shields,EMO-LED,-1,-1,Core,Extended Release,APS,-1,-1,-1,109.11209295894902
Green Gradient,7552,Tactical,Titan,Extended Range,Core,Industrial Sensor,APS,Core,Offender,APS,-1,-1,-1,109.10292295801315
Grey Day,4947,Graphic Tee,Snake,Kouwei,Patrician,Emoji,APS,Patrician,Inhaler,Kouwei,-1,-1,-1,109.08212571164353
Green Gradient,6749,Kimono,Nebula Red,Core,Core,Ongo,Kouwei,Runtime Meter,Inhaler,-1,-1,-1,-1,109.06659098650846
Grey Day,301,Graphic Tee,Titan,Patrician,Echelon-3,Industrial Sensor,Kouwei,Runtime Meter,Extended Release,-1,-1,-1,-1,109.06303420130438
Purple Gradient,7136,Kouwei,Snake,Extended Range,Centurion,Strobe,Core,Centurion,Offender,APS,-1,-1,-1,109.02678188479535
Grey Gradient,6432,Centurion,Grape,Patrician,Field Agent,Ongo,APS,Ongo,-1,Core,-1,-1,-1,109.0130036193408
Orange Gradient,2617,Core,Titan,Centurion,Ongo,Garsi,Core,Runtime Meter,Offender,Infrared,-1,-1,-1,109.0062747720718
Blue Gradient,7283,Monk,Snake,Kouwei,Echelon-3,Emoji,Core,Core,Inhaler,-1,-1,-1,-1,108.99637600215914
Blue Gradient,6164,TUX,Nebula Red,Kouwei,Centurion,Garsi,Core,Core,Kouwei,Core,-1,-1,-1,108.9920324580212
Pink Gradient,4098,Monk,Navy,Centurion,EMO-LED,-1,Kouwei,Centurion,Inhaler,Infrared,-1,-1,-1,108.97603359357804
Green Gradient,4256,Puff Jacket,Navy,EMP Shields,VRT,Ongo,-1,Core,Offender,Ongo,-1,-1,-1,108.97155289811128
Grey Gradient,2639,Tactical,Snake,Centurion,Patrician,Strobe,Core,Ongo,Inhaler,-1,-1,-1,-1,108.96997518816917
Grey Gradient,3301,Leather Jacket,Echelon Grey,Centurion,ISO,Emoji,Centurion,Core,Inhaler,-1,-1,-1,-1,108.96688096910698
Grey Gradient,5762,Tracksuit,Grape,Kouwei,Kouwei,Centurion,APS,Core,Ongo,Ongo,-1,-1,-1,108.95519722875027
Grey Day,6269,Centurion,Grape,Core,Field Agent,Centurion,Centurion,Ongo,-1,APS,-1,-1,-1,108.9544307076576
Green Gradient,7470,Kouwei,Echelon Grey,Small Cell,EMO-LED,-1,Ongo,Patrician,Extended Release,Core,-1,-1,-1,108.93844210369116
Blue Gradient,4804,Patrician,Nebula Red,Patrician,Kouwei,Emoji,-1,Core,Ongo,Core,-1,-1,-1,108.92970041128487
Grey Gradient,1204,Graphic Tee,Navy,Centurion,Centurion,Garsi,Kouwei,Runtime Meter,Offender,Kouwei,-1,Bypass,-1,108.92315789144814
Black Graphic,5118,Kouwei,Snake,Kouwei,Recon,Centurion,Kouwei,Runtime Meter,Ongo,APS,-1,-1,-1,108.9224588306306
Blue Gradient,4791,Leather Jacket,Pulsar White,Kouwei,Field Agent,Centurion,-1,Kouwei,Core,Centurion,-1,-1,-1,108.91240054376038
Blue Gradient,1720,Patrician,Neptune,Patrician,Centurion,Centurion,Core,Patrician,Offender,Kouwei,-1,-1,-1,108.88991060173032
Orange Gradient,7619,Leather Jacket,Wrath,EMP Shields,EMO-LED,-1,Kouwei,Centurion,Extended Release,Ongo,-1,-1,-1,108.86769821992637
Grey Day,1340,Leather Jacket,Snake,Centurion,Centurion,Industrial Sensor,Centurion,Ongo,Offender,Core,-1,Bypass,-1,108.85995899334829
Green Gradient,7571,Kimono,Titan,Kouwei,Ongo,Garsi,-1,Kouwei,Inhaler,APS,-1,-1,-1,108.84305994874045
Purple Gradient,1277,TUX,Neptune,Centurion,VRT,Industrial Sensor,Core,Runtime Meter,Kouwei,Core,-1,-1,-1,108.81241380712237
Grey Gradient,6294,Core,Nebula Red,Core,Graffiti,-1,APS,Core,Kouwei,Kouwei,-1,-1,-1,108.7767550892357
Grey Day,6131,Leather Jacket,Cotton Candy,Kouwei,Ongo,Emoji,-1,Runtime Meter,Inhaler,Infrared,-1,Kouwei,-1,108.74109454509406
Blue Gradient,116,Leather Jacket,Neptune,EMP Shields,Core,Industrial Sensor,Ongo,Core,Kouwei,Cat,-1,-1,-1,108.73237274674042
Purple Gradient,847,Puff Jacket,Nova Blue,Centurion,VRT,Garsi,Acoustic Array,Core,Kouwei,Rabbit,-1,-1,-1,108.70988486607754
Grey Day,74,Centurion,Snake,Patrician,VRT,Echelon-3,Core,Patrician,Extended Release,-1,-1,-1,-1,108.69901762464451
Green Gradient,1092,Tracksuit,Navy,Core,Centurion,Transmission,-1,Core,Inhaler,-1,-1,-1,-1,108.68904310563407
Purple Gradient,288,Core,Navy,Centurion,Patrician,Industrial Sensor,Core,Centurion,Inhaler,Centurion,-1,-1,-1,108.68848730007187
Green Gradient,613,Kouwei,Wrath,Kouwei,Core,Centurion,Centurion,Ongo,Inhaler,Centurion,-1,-1,-1,108.67853366272772
Orange Gradient,1347,Centurion,34 Tauri,Centurion,Graffiti,-1,Ongo,Core,Inhaler,Infrared,-1,-1,-1,108.6460254543179
Green Gradient,3492,Wind Breaker,Grape,Patrician,Ongo,Centurion,Cat,Centurion,-1,-1,-1,-1,-1,108.62566429545058
Grey Day,2810,Leather Jacket,Navy,Core,Core,Cutter,-1,Core,Inhaler,Cat,-1,-1,-1,108.54966960309724
Grey Day,1308,Leather Jacket,Echelon Grey,Centurion,ISO,Industrial Sensor,Core,Centurion,Inhaler,Ongo,-1,-1,-1,108.54963726334603
Grey Gradient,5612,Graphic Tee,Navy,Core,Recon,Emoji,Kouwei,Core,Sticker,Ongo,-1,-1,-1,108.54381718941823
Grey Gradient,702,Leather Jacket,Titan,EMP Shields,Centurion,Cutter,Core,Core,Extended Release,Core,-1,-1,-1,108.53196347518663
Grey Day,1738,Centurion,Snake,Centurion,Centurion,Core,-1,Centurion,Kouwei,Core,-1,-1,-1,108.50696743637755
Purple Gradient,5660,Graphic Tee,Cotton Candy,Patrician,Core,Industrial Sensor,Core,Kouwei,Inhaler,Infrared,-1,Kouwei,-1,108.50281237476258
Green Gradient,5229,Puff Jacket,Cotton Candy,Core,Ongo,Centurion,Core,Core,Offender,Rabbit,-1,-1,-1,108.40766124448731
Grey Gradient,1967,Graphic Tee,Nova Blue,Small Cell,VRT,Garsi,Acoustic Array,Centurion,Ongo,Core,-1,-1,-1,108.3897798923599
Grey Gradient,1678,Graphic Tee,Titan,Core,Field Agent,Centurion,Acoustic Array,Centurion,Kouwei,Cat,-1,-1,-1,108.38406867565884
Green Gradient,6743,Tactical,Nova Blue,Core,Core,Ongo,Kouwei,Core,Offender,Centurion,-1,-1,-1,108.3695054917897
Grey Day,7311,Centurion,Snake,Kouwei,EMO-LED,-1,-1,Patrician,Offender,Ongo,-1,Bypass,-1,108.36876343648872
Orange Gradient,1485,Tactical,Echelon Grey,Kouwei,Centurion,Strobe,Core,Centurion,Kouwei,Cat,-1,-1,-1,108.34556150696483
Grey Gradient,4229,Monk,Navy,Extended Range,EMO-LED,-1,-1,Core,Offender,APS,-1,-1,-1,108.32011259079565
Orange Gradient,1869,Kouwei,Titan,Core,EMO-LED,-1,Cat,Ongo,Inhaler,Core,-1,-1,-1,108.30058634062428
Purple Gradient,1828,Wind Breaker,34 Tauri,Core,VRT,Cutter,Core,Patrician,Extended Release,Core,-1,-1,-1,108.28133910219469
Pink Gradient,4478,Monk,Echelon Grey,Centurion,Kouwei,Industrial Sensor,APS,Core,Inhaler,Core,-1,-1,-1,108.27040104636838
Orange Gradient,223,Core,Navy,Core,Recon,Industrial Sensor,Rabbit,Runtime Meter,Inhaler,Infrared,-1,-1,-1,108.26501844930941
Grey Gradient,7544,Kouwei,Nebula Red,Small Cell,Core,Garsi,Rabbit,Patrician,-1,-1,-1,-1,-1,108.25471582255236
Black Graphic,78,Monk,Nebula Red,Centurion,EMO-LED,-1,-1,Patrician,-1,Rabbit,-1,-1,-1,108.23076009447308
Black Graphic,4048,Puff Jacket,Echelon Grey,Kouwei,Ongo,Garsi,APS,Core,Kouwei,Infrared,-1,-1,-1,108.21892767979503
Orange Gradient,883,Tracksuit,Pulsar White,EMP Shields,Core,Emoji,Acoustic Array,Core,Offender,Centurion,-1,-1,-1,108.21878178992544
Grey Day,4123,TUX,Navy,Core,Centurion,Ongo,-1,Patrician,Inhaler,-1,-1,-1,-1,108.20518403076922
Green Gradient,6466,TUX,Pulsar White,Kouwei,Kouwei,Emoji,-1,Core,Kouwei,Core,-1,-1,-1,108.20042070271985
Purple Gradient,4777,Kouwei,Pulsar White,Centurion,VRT,Emoji,Rabbit,Centurion,-1,Cat,-1,-1,-1,108.18759067102762
Grey Day,4192,Tracksuit,34 Tauri,Small Cell,Core,Strobe,-1,Core,Ongo,Kouwei,-1,-1,-1,108.17941243091428
Orange Gradient,482,Tracksuit,Wrath,Extended Range,Recon,Centurion,Acoustic Array,Runtime Meter,Kouwei,Kouwei,-1,-1,-1,108.17698825865038
Grey Gradient,2214,Ongo,Echelon Grey,Kouwei,EMO-LED,-1,Core,Patrician,Ongo,Kouwei,-1,-1,-1,108.1641810928891
Orange Gradient,1710,Core,Wrath,Centurion,Centurion,Emoji,Centurion,Centurion,Extended Release,Kouwei,-1,-1,-1,108.16001184561019
Pink Gradient,7255,Wind Breaker,Grape,Core,Patrician,-1,Kouwei,Core,Extended Release,APS,-1,-1,-1,108.1311304397613
Blue Gradient,2835,BDVXP,Echelon Grey,Kouwei,Vandalized,Emoji,-1,Patrician,Inhaler,Core,-1,-1,-1,108.12891706404645
Grey Gradient,43,Core,Wrath,Centurion,Graffiti,-1,Acoustic Array,Ongo,Inhaler,Kouwei,-1,-1,-1,108.09157217948994
Blue Gradient,6345,BDVXP,Neptune,Kouwei,Centurion,Emoji,APS,Runtime Meter,-1,-1,-1,Bypass,-1,108.08440028501057
Grey Gradient,7329,BDVXP,Cotton Candy,EMP Shields,VRT,Centurion,-1,Core,Sticker,APS,-1,-1,-1,108.07498976817968
Orange Gradient,2503,Puff Jacket,34 Tauri,Small Cell,Centurion,Emoji,-1,Ongo,Inhaler,Rabbit,-1,-1,-1,108.06304977393052
Blue Gradient,2391,Kouwei,34 Tauri,Extended Range,VRT,Centurion,Core,Kouwei,Sticker,Centurion,-1,-1,-1,108.03069362451598
Grey Gradient,7129,Leather Jacket,Cotton Candy,Centurion,Centurion,Industrial Sensor,Acoustic Array,Core,Sticker,Core,-1,Kouwei,-1,108.02969160723839
Grey Day,5446,Tactical,Titan,Core,Field Agent,Strobe,Core,Runtime Meter,Offender,Kouwei,-1,-1,-1,108.02445379534628
Grey Day,3389,Centurion,34 Tauri,Centurion,VRT,Range Finder,-1,Centurion,Ongo,-1,-1,-1,-1,108.01983334216287
Grey Gradient,3986,Centurion,Grape,Centurion,Centurion,Cutter,-1,Patrician,Offender,Kouwei,-1,-1,-1,108.01291731157049
Grey Day,5414,Graphic Tee,Grape,Core,VRT,Echelon-3,-1,Kouwei,Inhaler,Cat,-1,-1,-1,108.0072823658442
Green Gradient,2213,Tracksuit,34 Tauri,Centurion,Vandalized,Industrial Sensor,Acoustic Array,Core,Sticker,Core,-1,-1,-1,107.99841871827707
Grey Day,4006,Graphic Tee,Nova Blue,Core,Echelon-3,Industrial Sensor,Acoustic Array,Kouwei,Kouwei,Infrared,-1,-1,-1,107.99569094325321
Grey Gradient,4763,Leather Jacket,Pulsar White,Kouwei,Centurion,Industrial Sensor,-1,Centurion,V-THC,-1,-1,-1,-1,107.9931364658881
Grey Gradient,6220,Wind Breaker,Nova Blue,Patrician,Centurion,Echelon-3,Acoustic Array,Core,Sticker,-1,-1,-1,-1,107.98333323347674
Grey Gradient,546,Tracksuit,Grape,Patrician,Kouwei,Industrial Sensor,Core,Kouwei,Inhaler,Core,-1,Kouwei,-1,107.97731052374888
Grey Gradient,1874,Tracksuit,Cotton Candy,Patrician,VRT,Range Finder,-1,Patrician,Ongo,-1,-1,-1,-1,107.96044118326428
Grey Gradient,347,Kimono,Titan,Kouwei,EMO-LED,-1,Ongo,Patrician,Offender,Core,-1,-1,-1,107.94630944818404
Orange Gradient,5038,Tactical,Echelon Grey,Extended Range,Centurion,Industrial Sensor,APS,Core,Kouwei,Ongo,-1,-1,-1,107.94105905612896
Pink Gradient,4960,Leather Jacket,34 Tauri,EMP Shields,Ongo,Industrial Sensor,Acoustic Array,Patrician,Sticker,Core,-1,-1,-1,107.92718661107236
Black Graphic,7019,TUX,Neptune,Centurion,Kouwei,Emoji,-1,Runtime Meter,Inhaler,-1,-1,-1,-1,107.90813690382711
Pink Gradient,6417,Monk,Snake,Kouwei,VRT,-1,Kouwei,Core,Offender,-1,-1,Bypass,-1,107.88749800499336
Grey Gradient,965,Tracksuit,Titan,Kouwei,Graffiti,-1,Rabbit,Core,Kouwei,APS,-1,-1,-1,107.88068030122953
Green Gradient,3636,Tactical,Grape,Ongo,EMO-LED,-1,-1,Patrician,Centurion,-1,-1,-1,-1,107.86442175606784
Blue Gradient,3920,Graphic Tee,Snake,Centurion,Graffiti,-1,Core,Kouwei,Inhaler,Rabbit,-1,-1,-1,107.82203041897702
Purple Gradient,6524,TUX,Echelon Grey,Kouwei,Core,Industrial Sensor,-1,Core,Offender,Kouwei,-1,-1,-1,107.81306447191801
Orange Gradient,2467,Leather Jacket,Grape,Ongo,Kouwei,Emoji,Rabbit,Centurion,Extended Release,-1,-1,-1,-1,107.79354590642026
Blue Gradient,4772,Tracksuit,Cotton Candy,Kouwei,Vandalized,Centurion,Acoustic Array,Kouwei,Inhaler,Infrared,-1,-1,-1,107.78939554996606
Black Graphic,1192,Kouwei,Nova Blue,Centurion,Core,Garsi,Core,Ongo,Inhaler,Rabbit,-1,-1,-1,107.77337943802277
Green Gradient,796,Tactical,Nebula Red,Patrician,VRT,Echelon-3,Ongo,Core,Kouwei,Core,-1,-1,-1,107.77253918081378
Blue Gradient,3798,Monk,Cotton Candy,Kouwei,EMO-LED,-1,Kouwei,Kouwei,Ongo,-1,-1,-1,-1,107.75873734779428
Grey Day,5551,Puff Jacket,Grape,Kouwei,Ongo,Ongo,Core,Patrician,Ongo,Kouwei,-1,-1,-1,107.74795467926991
Blue Gradient,6867,Patrician,Snake,Centurion,VRT,Industrial Sensor,Core,Patrician,Extended Release,APS,-1,-1,-1,107.74664640432196
Black Graphic,3217,Graphic Tee,Echelon Grey,Core,VRT,Range Finder,Acoustic Array,Ongo,Offender,-1,-1,-1,-1,107.74274649635643
Orange Gradient,6682,Wind Breaker,Titan,Extended Range,EMO-LED,-1,Acoustic Array,Centurion,Ongo,APS,-1,-1,-1,107.72237792229578
Blue Gradient,2988,Kouwei,Nova Blue,Ongo,Ongo,Strobe,-1,Core,Inhaler,APS,-1,-1,-1,107.71146539749955
Blue Gradient,5272,Monk,Neptune,Centurion,EMO-LED,-1,-1,Core,Centurion,-1,-1,-1,-1,107.7056150806202
Purple Gradient,2662,Graphic Tee,Cotton Candy,EMP Shields,Centurion,Centurion,APS,Core,Inhaler,Rabbit,-1,-1,-1,107.69819431658985
Grey Day,4206,Monk,Neptune,Core,Centurion,Industrial Sensor,Core,Centurion,Kouwei,Ongo,-1,-1,-1,107.69817714003676
Orange Gradient,5552,Graphic Tee,Wrath,Patrician,Patrician,Industrial Sensor,-1,Core,Centurion,-1,-1,-1,-1,107.68899662490993
Purple Gradient,2754,Core,Wrath,Centurion,Core,Emoji,Cat,Core,Inhaler,Core,-1,-1,-1,107.68755737873671
Pink Gradient,5186,Graphic Tee,Wrath,Core,Recon,Ongo,-1,Core,Extended Release,Rabbit,-1,-1,-1,107.68370750847612
Pink Gradient,3752,PBJ,Neptune,Centurion,VRT,Industrial Sensor,-1,Runtime Meter,Extended Release,Ongo,-1,-1,-1,107.67967399650277
Green Gradient,3364,Kouwei,Neptune,Kouwei,Core,Range Finder,-1,Core,Inhaler,Centurion,-1,-1,-1,107.67805364005143
Pink Gradient,6472,Graphic Tee,Grape,Small Cell,Patrician,Industrial Sensor,Kouwei,Patrician,-1,-1,-1,-1,-1,107.66339972365073
Purple Gradient,3772,Leather Jacket,Neptune,Patrician,VRT,Emoji,Rabbit,Patrician,Offender,Ongo,-1,-1,-1,107.65604919938752
Green Gradient,579,Wind Breaker,Echelon Grey,Centurion,Recon,Centurion,Ongo,Ongo,Ongo,Kouwei,-1,-1,-1,107.61833078039955
Pink Gradient,6773,Core,Nebula Red,Small Cell,Field Agent,Emoji,Rabbit,Core,Kouwei,-1,-1,-1,-1,107.59693994538306
Orange Gradient,2596,Core,Nova Blue,Centurion,VRT,Emoji,Rabbit,Ongo,Offender,Infrared,-1,-1,-1,107.58533570674102
Grey Gradient,1109,Core,Nova Blue,Core,Patrician,Centurion,Kouwei,Centurion,Kouwei,-1,-1,-1,-1,107.56273710169341
Blue Gradient,5343,Tracksuit,Cotton Candy,Patrician,Core,Garsi,Core,Runtime Meter,Inhaler,Rabbit,-1,-1,-1,107.52945609391199
Black Graphic,1031,Core,Wrath,Centurion,VRT,Echelon-3,Core,Ongo,Sticker,-1,-1,-1,-1,107.498853720726
Green Gradient,2935,Tracksuit,Neptune,Patrician,Field Agent,Emoji,Core,Ongo,Sticker,Centurion,-1,-1,-1,107.45689542189146
Green Gradient,5633,Kimono,Cotton Candy,Kouwei,VRT,Emoji,Ongo,Centurion,Inhaler,Infrared,-1,-1,-1,107.43208416781124
Grey Day,2749,Leather Jacket,Pulsar White,Core,Echelon-3,Emoji,-1,Patrician,-1,Rabbit,-1,-1,-1,107.43164895814112
Blue Gradient,3021,Kouwei,Nebula Red,Kouwei,ISO,Industrial Sensor,Core,Kouwei,Kouwei,APS,-1,-1,-1,107.43109204329157
Black Graphic,958,Core,Neptune,Centurion,VRT,-1,Acoustic Array,Patrician,Offender,Cat,-1,-1,-1,107.42301047695686
Grey Gradient,2139,Graphic Tee,Snake,Kouwei,Core,Ongo,Centurion,Core,Extended Release,APS,-1,-1,-1,107.42105935390367
Grey Gradient,6461,Leather Jacket,Cotton Candy,Patrician,Ongo,Ongo,Centurion,Core,Inhaler,Kouwei,-1,-1,-1,107.40645585707497
Grey Gradient,4001,Leather Jacket,Cotton Candy,Kouwei,Vandalized,Industrial Sensor,Core,Ongo,Inhaler,Rabbit,-1,-1,-1,107.40167887114725
Pink Gradient,248,TUX,Cotton Candy,Kouwei,Centurion,Emoji,Core,Ongo,Inhaler,Core,-1,-1,-1,107.40018465990028
Black Graphic,6142,Centurion,Cotton Candy,Centurion,ISO,Industrial Sensor,-1,Core,Inhaler,Centurion,-1,-1,-1,107.39808388841061
Green Gradient,782,Kouwei,Grape,Core,Centurion,Core,Ongo,Core,Inhaler,-1,-1,-1,-1,107.38714814873519
Purple Gradient,7287,Leather Jacket,Wrath,Kouwei,Patrician,Ongo,Core,Centurion,Kouwei,Infrared,-1,-1,-1,107.38605780873127
Orange Gradient,3133,Graphic Tee,Echelon Grey,Centurion,Recon,Emoji,Centurion,Core,Ongo,Core,-1,-1,-1,107.3768445943202
Green Gradient,4253,Puff Jacket,Nova Blue,Centurion,Core,Centurion,Rabbit,Kouwei,Kouwei,Centurion,-1,-1,-1,107.31928787946386
Grey Day,2206,Leather Jacket,Navy,Kouwei,ISO,Industrial Sensor,Core,Core,Sticker,Infrared,-1,-1,-1,107.31312039139429
Black Graphic,6330,BDVXP,Nova Blue,Centurion,EMO-LED,-1,Acoustic Array,Runtime Meter,Offender,APS,-1,-1,-1,107.29541387199446
Pink Gradient,484,Leather Jacket,Snake,Centurion,Ongo,Cutter,Core,Core,Offender,APS,-1,-1,-1,107.27354016824114
Grey Day,4277,PBJ,Nova Blue,Kouwei,Field Agent,-1,Core,Core,Inhaler,Cat,-1,-1,-1,107.26978787550647
Blue Gradient,2528,Wind Breaker,Wrath,Patrician,Recon,Strobe,Core,Runtime Meter,Kouwei,APS,-1,-1,-1,107.23093807675578
Grey Day,2893,Puff Jacket,Nova Blue,Kouwei,Recon,Centurion,Acoustic Array,Core,Sticker,Infrared,-1,-1,-1,107.2295154334998
Orange Gradient,6967,Kimono,Wrath,Kouwei,Centurion,Emoji,Rabbit,Core,Kouwei,APS,-1,-1,-1,107.2292441679463
Green Gradient,1490,Tracksuit,Navy,Kouwei,Centurion,Centurion,Core,Kouwei,Inhaler,-1,-1,Patrician,-1,107.22742172271688
Purple Gradient,7341,Core,Pulsar White,Small Cell,Centurion,Industrial Sensor,APS,Core,Extended Release,Kouwei,-1,-1,-1,107.22730234408054
Pink Gradient,5611,Kouwei,Nebula Red,Core,ISO,Garsi,Core,Core,Inhaler,Core,-1,-1,-1,107.22538190927199
Grey Gradient,3358,Leather Jacket,Nebula Red,Kouwei,ISO,Garsi,Core,Patrician,Extended Release,-1,-1,-1,-1,107.21345325594353
Purple Gradient,606,Wind Breaker,Wrath,EMP Shields,Core,Strobe,APS,Ongo,-1,-1,-1,-1,-1,107.2002164555831
Black Graphic,2797,Leather Jacket,Wrath,Core,VRT,Kouwei,Core,Centurion,-1,-1,-1,-1,-1,107.1670007012117
Green Gradient,6423,PBJ,Titan,Kouwei,Vandalized,Emoji,-1,Kouwei,Kouwei,-1,-1,-1,-1,107.16477941801476
Grey Gradient,397,PBJ,Nebula Red,Kouwei,Graffiti,-1,Core,Core,Inhaler,APS,-1,-1,-1,107.15841533622721
Grey Gradient,6547,Wind Breaker,Wrath,Small Cell,VRT,Strobe,-1,Core,Offender,Centurion,-1,-1,-1,107.1582146936237
Blue Gradient,4792,Leather Jacket,Neptune,Extended Range,Centurion,Emoji,Cat,Core,Offender,-1,-1,-1,-1,107.15706570632986
Grey Gradient,2469,Ongo,34 Tauri,Core,Kouwei,Garsi,Core,Core,Offender,-1,-1,-1,-1,107.15354193012645
Grey Gradient,4059,Tracksuit,Echelon Grey,Small Cell,Field Agent,Centurion,-1,Core,Kouwei,Kouwei,-1,Bypass,-1,107.11444331316325
Orange Gradient,1188,BDVXP,Neptune,Core,EMO-LED,-1,Ongo,Patrician,Kouwei,Infrared,-1,-1,-1,107.10727764294208
Purple Gradient,3959,PBJ,34 Tauri,Kouwei,Field Agent,Centurion,Rabbit,Kouwei,Inhaler,-1,-1,-1,-1,107.07938608150532
Purple Gradient,1971,Kimono,Nova Blue,Core,Centurion,Echelon-3,-1,Patrician,Inhaler,-1,-1,-1,-1,107.07352113310864
